Age,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_History_Age,Payment_of_Min_Amount,Payment_Behaviour,Monthly_Balance,Credit_Score
21,Engineer,12986.745,4,3.0,10,2.0,30,20.0,11.8,7.0,Standard,1489.49,8.1,Yes,Low_spent_Medium_value_payments,311.94,1
22,Engineer,12986.745,4,3.0,10,2.0,30,18.0,16.8,7.0,Standard,1489.49,9.0,Yes,Low_spent_Small_value_payments,296.86,1
22,Engineer,12986.745,4,3.0,10,2.0,30,17.0,11.8,7.0,Standard,1489.49,9.1,Yes,Low_spent_Small_value_payments,257.95,1
22,Engineer,12986.745,4,3.0,10,2.0,28,17.0,11.8,7.0,Standard,1489.49,9.3,Yes,Low_spent_Small_value_payments,277.37,1
43,Writer,58317.0,8,5.0,9,6.0,18,20.0,16.58,6.0,Standard,98.97,13.2,Yes,High_spent_Medium_value_payments,483.28,1
44,Writer,58317.0,8,5.0,9,6.0,18,20.0,21.58,10.0,Standard,98.97,13.7,Yes,Low_spent_Medium_value_payments,215.99,1
36,Scientist,42171.98,2,7.0,10,3.0,4,10.0,9.58,4.0,Good,556.91,21.5,No,High_spent_Medium_value_payments,466.96,1
36,Scientist,42171.98,2,7.0,10,3.0,4,8.0,2.58,4.0,Good,556.91,21.6,No,Low_spent_Small_value_payments,426.69,1
37,Scientist,42171.98,2,7.0,10,3.0,2,10.0,2.58,4.0,Good,556.91,21.8,No,Low_spent_Large_value_payments,287.9,2
37,Scientist,42171.98,2,7.0,10,3.0,4,10.0,2.58,4.0,Good,556.91,22.0,No,High_spent_Medium_value_payments,378.27,1
16,Mechanic,29469.98,7,7.0,24,5.0,53,21.0,26.94,11.0,Bad,3421.66,13.5,Yes,High_spent_Medium_value_payments,375.85,0
16,Mechanic,29469.98,7,7.0,24,5.0,53,21.0,26.94,11.0,Bad,3421.66,13.6,Yes,Low_spent_Medium_value_payments,361.83,0
16,Mechanic,29469.98,7,7.0,24,5.0,53,21.0,26.94,11.0,Bad,3421.66,13.9,Yes,High_spent_Medium_value_payments,379.03,0
19,Engineer,72559.36,4,5.0,17,4.0,14,21.0,2.74,1.0,Standard,1173.7,27.11,No,Low_spent_Large_value_payments,116.88,1
19,Engineer,72559.36,4,5.0,17,4.0,14,22.0,2.74,1.0,Standard,1173.7,28.0,No,High_spent_Medium_value_payments,456.9,1
20,Engineer,72559.36,4,5.0,17,4.0,14,19.0,2.74,1.0,Standard,1173.7,28.5,No,High_spent_Medium_value_payments,580.13,1
36,Musician,15566.02,8,5.0,32,4.0,17,20.0,9.24,7.0,Standard,1693.95,7.11,Yes,Low_spent_Small_value_payments,219.63,0
33,Accountant,30788.44,7,9.0,31,6.0,49,20.0,21.73,9.0,Bad,3470.08,1.3,Yes,High_spent_Medium_value_payments,344.19,1
33,Accountant,30788.44,7,9.0,31,6.0,49,20.0,21.73,9.0,Bad,3470.08,1.5,Yes,Low_spent_Small_value_payments,340.52,1
33,Accountant,30788.44,7,9.0,31,6.0,45,21.0,21.73,9.0,Bad,3470.08,1.7,Yes,High_spent_Small_value_payments,334.85,1
42,Architect,20574.47,6,3.0,14,4.0,6,10.0,13.74,6.0,Standard,749.95,11.0,Yes,Low_spent_Small_value_payments,309.74,1
42,Architect,20574.47,6,3.0,14,4.0,6,10.0,6.74,11.0,Standard,749.95,11.4,Yes,Low_spent_Small_value_payments,222.33,1
42,Architect,20574.47,6,3.0,14,4.0,1,7.0,13.74,11.0,Standard,749.95,11.5,Yes,Low_spent_Large_value_payments,275.43,1
22,Lawyer,148699.32,3,4.0,5,3.0,13,6.0,9.2,1.0,Good,949.38,30.1,No,Low_spent_Medium_value_payments,558.88,2
22,Lawyer,148699.32,3,4.0,5,3.0,13,6.0,9.2,1.0,Good,949.38,31.0,No,High_spent_Small_value_payments,277.23,2
15,Entrepreneur,55829.79,10,10.0,18,8.0,30,19.0,27.99,11.0,Bad,3422.49,10.7,Yes,High_spent_Small_value_payments,250.04,1
16,Entrepreneur,55829.79,10,10.0,18,8.0,30,19.0,23.99,11.0,Bad,3422.49,11.0,Yes,Low_spent_Small_value_payments,156.32,1
27,Architect,14165.23,7,10.0,33,9.0,55,24.0,6.82,11.0,Bad,2797.17,14.0,Yes,Low_spent_Small_value_payments,252.02,0
43,Lawyer,81842.28,10,9.0,25,9.0,20,19.0,16.25,9.0,Bad,3053.16,0.6,Yes,High_spent_Small_value_payments,174.48,1
43,Lawyer,81842.28,10,9.0,25,9.0,20,19.0,16.25,11.0,Bad,3053.16,0.9,Yes,High_spent_Large_value_payments,181.88,1
43,Lawyer,81842.28,10,9.0,25,9.0,20,19.0,10.25,11.0,Bad,3053.16,0.1,Yes,Low_spent_Medium_value_payments,185.05,1
38,Doctor,95956.5,8,4.0,11,2.0,22,13.0,11.94,2.0,Standard,1079.73,31.11,No,High_spent_Small_value_payments,474.61,1
25,Manager,49967.01,7,6.0,31,6.0,27,11.0,19.87,11.0,Standard,2253.95,16.1,Yes,High_spent_Large_value_payments,426.26,0
26,Manager,49967.01,7,6.0,31,6.0,27,11.0,19.87,11.0,Standard,2253.95,17.0,Yes,High_spent_Medium_value_payments,422.91,0
26,Manager,49967.01,7,6.0,31,6.0,27,11.0,19.87,11.0,Standard,2253.95,17.1,Yes,Low_spent_Medium_value_payments,160.02,0
14,Developer,39887.22,9,9.0,16,5.0,54,19.0,17.25,14.0,Bad,3119.6,12.9,Yes,High_spent_Medium_value_payments,342.93,0
37,Writer,17251.38,6,3.0,7,7.0,5,12.0,15.06,6.0,Standard,2431.64,11.6,Yes,Low_spent_Large_value_payments,245.67,1
37,Writer,17251.38,6,3.0,7,7.0,10,15.0,15.06,6.0,Standard,2431.64,11.7,Yes,Low_spent_Small_value_payments,228.81,1
37,Writer,17251.38,6,3.0,7,7.0,8,15.0,15.06,10.0,Standard,2431.64,11.8,Yes,High_spent_Small_value_payments,296.2,1
22,Entrepreneur,36822.29,8,7.0,6,4.0,14,19.0,5.79,4.0,Standard,125.25,24.9,No,Low_spent_Large_value_payments,227.66,1
23,Entrepreneur,36822.29,8,7.0,6,4.0,14,19.0,5.79,5.0,Standard,125.25,24.11,No,High_spent_Large_value_payments,383.52,2
23,Entrepreneur,36822.29,8,7.0,6,4.0,15,19.0,5.79,5.0,Standard,125.25,25.3,No,Low_spent_Medium_value_payments,245.47,2
20,Scientist,69977.6,10,7.0,20,9.0,49,18.0,6.81,11.0,Bad,3042.36,12.1,Yes,Low_spent_Medium_value_payments,214.19,1
16,Musician,78988.48,9,5.0,29,7.0,27,17.0,15.27,9.0,Bad,1746.9,10.1,Yes,High_spent_Medium_value_payments,515.08,0
16,Musician,78988.48,9,5.0,29,7.0,27,17.0,15.27,9.0,Bad,1746.9,10.3,Yes,Low_spent_Large_value_payments,327.55,0
16,Musician,78988.48,9,5.0,29,7.0,27,15.0,15.27,9.0,Bad,1746.9,10.6,Yes,Low_spent_Medium_value_payments,233.91,0
19,Lawyer,73737.36,7,3.0,18,4.0,20,20.0,14.92,2.0,Standard,1219.39,31.2,Yes,High_spent_Medium_value_payments,515.7,1
19,Lawyer,73737.36,7,3.0,18,4.0,20,17.0,13.92,2.0,Standard,1219.39,31.4,Yes,High_spent_Medium_value_payments,474.99,1
19,Lawyer,73737.36,7,3.0,18,4.0,15,20.0,13.92,2.0,Standard,1219.39,31.5,Yes,Low_spent_Small_value_payments,244.81,1
19,Lawyer,73737.36,7,3.0,18,4.0,20,17.0,13.92,2.0,Standard,1219.39,31.8,Yes,Low_spent_Large_value_payments,220.41,1
33,Musician,88362.46,5,2.0,8,3.0,15,10.0,9.01,4.0,Good,325.93,30.9,No,Low_spent_Medium_value_payments,321.59,2
33,Musician,88362.46,5,2.0,8,3.0,17,8.0,11.01,4.0,Good,325.93,30.1,No,High_spent_Small_value_payments,586.8,1
34,Musician,88362.46,5,2.0,8,3.0,15,8.0,11.01,4.0,Good,325.93,30.11,No,High_spent_Medium_value_payments,480.99,2
34,Musician,88362.46,5,2.0,8,3.0,15,6.0,11.01,6.0,Good,325.93,31.1,No,Low_spent_Medium_value_payments,579.76,2
26,Scientist,60162.1,5,7.0,5,7.0,18,10.0,14.79,7.0,Standard,1037.45,13.2,Yes,High_spent_Medium_value_payments,469.52,1
26,Scientist,60162.1,5,7.0,5,7.0,18,10.0,14.79,7.0,Standard,1037.45,13.3,Yes,High_spent_Medium_value_payments,396.09,1
26,Scientist,60162.1,5,7.0,5,7.0,18,12.0,14.79,9.0,Standard,1037.45,13.5,Yes,Low_spent_Large_value_payments,213.15,1
26,Scientist,60162.1,5,7.0,5,7.0,18,13.0,14.79,9.0,Standard,1037.45,13.8,Yes,High_spent_Large_value_payments,451.81,1
18,Musician,75273.24,8,6.0,32,5.0,50,9.0,12.8,8.0,Standard,2497.34,5.7,Yes,High_spent_Large_value_payments,595.97,0
18,Musician,75273.24,8,6.0,32,5.0,50,10.0,17.8,8.0,Standard,2497.34,5.8,Yes,High_spent_Medium_value_payments,609.48,0
18,Musician,75273.24,8,6.0,32,5.0,50,11.0,12.8,8.0,Standard,2497.34,5.9,Yes,Low_spent_Medium_value_payments,343.17,1
30,Architect,30390.44,5,6.0,5,4.0,19,23.0,8.36,4.0,Standard,580.31,24.4,No,Low_spent_Large_value_payments,327.69,1
30,Architect,30390.44,5,6.0,5,4.0,19,18.0,8.36,4.0,Standard,580.31,24.5,No,High_spent_Small_value_payments,327.44,1
30,Architect,30390.44,5,6.0,5,4.0,19,17.0,8.36,4.0,Standard,580.31,24.6,No,High_spent_Medium_value_payments,396.39,1
42,Doctor,45207.54,8,8.0,24,6.0,24,22.0,9.78,9.0,Bad,2497.48,16.5,Yes,Low_spent_Small_value_payments,116.08,0
42,Doctor,45207.54,8,8.0,24,6.0,26,21.0,4.779999999999999,9.0,Bad,2497.48,16.6,Yes,High_spent_Medium_value_payments,407.13,0
43,Doctor,45207.54,8,8.0,24,6.0,25,20.0,9.78,9.0,Bad,2497.48,16.8,Yes,Low_spent_Medium_value_payments,362.73,0
43,Doctor,45207.54,8,8.0,24,6.0,22,20.0,9.78,9.0,Bad,2497.48,16.1,Yes,High_spent_Small_value_payments,306.95,0
39,Engineer,30346.35,5,4.0,14,7.0,29,9.0,18.8,5.0,Standard,523.56,8.5,Yes,Low_spent_Small_value_payments,125.98,1
47,Mechanic,18681.465,2,3.0,9,2.0,6,8.0,3.9,3.0,Good,327.88,31.2,No,Low_spent_Large_value_payments,272.55,2
47,Mechanic,18681.465,2,3.0,9,2.0,6,8.0,3.9,3.0,Good,327.88,31.3,No,High_spent_Small_value_payments,360.71,2
47,Mechanic,18681.465,2,3.0,9,2.0,6,6.0,3.9,3.0,Good,327.88,31.4,No,Low_spent_Small_value_payments,209.56,2
16,Teacher,43241.49,10,7.0,30,6.0,36,14.0,8.47,10.0,Bad,2174.16,12.8,Yes,High_spent_Medium_value_payments,394.98,1
16,Teacher,43241.49,10,7.0,30,6.0,36,17.0,8.47,10.0,Bad,2174.16,12.9,Yes,High_spent_Medium_value_payments,351.21,1
34,Architect,17001.34,6,5.0,5,1.0,10,21.0,5.62,2.0,Standard,1093.87,17.8,No,High_spent_Medium_value_payments,310.35,1
34,Architect,17001.34,6,5.0,5,1.0,5,20.0,5.62,2.0,Standard,1093.87,17.9,No,Low_spent_Small_value_payments,301.65,1
42,Teacher,103353.06,3,3.0,6,1.0,4,9.0,3.11,2.0,Good,1374.56,25.1,No,Low_spent_Small_value_payments,34.9,2
38,Journalist,31021.24,7,7.0,11,4.0,16,21.0,18.21,4.0,Standard,852.81,32.1,No,High_spent_Medium_value_payments,366.34,1
38,Journalist,31021.24,7,7.0,11,4.0,21,20.0,11.21,7.0,Standard,852.81,33.0,No,Low_spent_Large_value_payments,317.86,1
38,Journalist,31021.24,7,7.0,11,4.0,20,20.0,11.21,7.0,Standard,852.81,33.3,No,High_spent_Large_value_payments,367.87,1
38,Journalist,31021.24,7,7.0,11,4.0,16,20.0,11.21,7.0,Standard,852.81,33.4,No,Low_spent_Large_value_payments,373.76,1
36,Journalist,134978.24,8,5.0,15,2.0,9,14.0,9.89,3.0,Standard,668.14,26.4,Yes,Low_spent_Small_value_payments,550.83,1
36,Journalist,134978.24,8,5.0,15,2.0,9,16.0,9.89,5.0,Standard,668.14,26.7,Yes,Low_spent_Medium_value_payments,577.18,2
37,Journalist,134978.24,8,5.0,15,2.0,9,16.0,6.8900000000000015,5.0,Standard,668.14,26.8,Yes,Low_spent_Small_value_payments,470.39,2
37,Journalist,134978.24,8,5.0,15,2.0,9,15.0,16.89,5.0,Standard,668.14,26.9,Yes,Low_spent_Medium_value_payments,667.87,2
28,Writer,39800.12,7,5.0,12,3.0,17,18.0,18.53,4.0,Standard,660.69,17.11,Yes,Low_spent_Small_value_payments,126.04,1
28,Writer,39800.12,7,5.0,12,3.0,17,18.0,18.53,4.0,Standard,660.69,18.0,Yes,High_spent_Medium_value_payments,462.49,2
28,Writer,39800.12,7,5.0,12,3.0,17,20.0,18.53,4.0,Standard,660.69,18.1,Yes,High_spent_Large_value_payments,444.18,1
28,Writer,39800.12,7,5.0,12,3.0,17,18.0,18.53,4.0,Standard,660.69,18.2,Yes,High_spent_Medium_value_payments,375.24,1
28,Writer,39800.12,7,5.0,12,3.0,17,20.0,11.53,4.0,Standard,660.69,18.4,Yes,Low_spent_Medium_value_payments,251.82,1
21,Architect,66105.4,6,8.0,31,5.0,26,23.0,5.52,9.0,Bad,1549.56,11.5,Yes,High_spent_Small_value_payments,441.47,0
22,Architect,66105.4,6,8.0,31,5.0,26,22.0,5.52,12.0,Bad,1549.56,11.9,Yes,High_spent_Large_value_payments,474.08,0
18,Developer,27070.07,7,3.0,11,4.0,12,15.0,5.68,1.0,Standard,919.76,29.2,No,High_spent_Small_value_payments,362.34,1
18,Developer,27070.07,7,3.0,11,4.0,7,13.0,5.68,6.0,Standard,919.76,29.8,No,Low_spent_Medium_value_payments,268.37,1
25,Journalist,27865.26,4,3.0,6,1.0,22,18.0,19.05,5.0,Standard,635.59,30.4,Yes,Low_spent_Small_value_payments,319.47,1
25,Journalist,27865.26,4,3.0,6,1.0,22,18.0,19.05,5.0,Standard,635.59,30.6,Yes,High_spent_Medium_value_payments,423.99,1
25,Journalist,27865.26,4,3.0,6,1.0,22,18.0,12.05,5.0,Standard,635.59,30.8,Yes,Low_spent_Small_value_payments,376.58,1
26,Journalist,27865.26,4,3.0,6,1.0,22,18.0,19.05,5.0,Standard,635.59,30.11,Yes,Low_spent_Small_value_payments,415.88,0
28,Scientist,62320.56,9,9.0,18,5.0,26,15.0,21.24,10.0,Bad,3589.56,1.4,Yes,High_spent_Medium_value_payments,405.84,1
28,Scientist,62320.56,9,9.0,18,5.0,23,15.0,17.24,15.0,Bad,3589.56,1.5,Yes,High_spent_Large_value_payments,473.07,1
25,Manager,43758.34,5,6.0,12,2.0,9,2.0,4.18,1.0,Good,1194.28,33.1,No,High_spent_Small_value_payments,319.88,2
25,Manager,43758.34,5,6.0,12,2.0,13,2.0,4.18,1.0,Good,1194.28,33.2,No,Low_spent_Small_value_payments,161.61,2
20,Writer,144881.68,3,4.0,15,4.0,6,13.0,10.1,2.0,Standard,404.51,25.9,Yes,High_spent_Large_value_payments,738.25,1
20,Writer,144881.68,3,4.0,15,4.0,3,12.0,10.1,2.0,Standard,404.51,26.4,Yes,High_spent_Small_value_payments,479.82,1
38,Media_Manager,108147.3,3,6.0,6,4.0,13,20.0,3.5700000000000003,2.0,Standard,1113.06,29.3,Yes,High_spent_Medium_value_payments,565.02,2
38,Media_Manager,108147.3,3,6.0,6,4.0,14,20.0,7.57,2.0,Standard,1113.06,29.4,Yes,Low_spent_Small_value_payments,25.29,2
27,Lawyer,17759.1,6,8.0,19,5.0,20,20.0,5.2,10.0,Bad,3598.39,4.9,Yes,Low_spent_Small_value_payments,188.79,1
27,Lawyer,17759.1,6,8.0,19,5.0,24,21.0,10.2,10.0,Bad,3598.39,4.11,Yes,Low_spent_Large_value_payments,228.52,0
28,Lawyer,17759.1,6,8.0,19,5.0,24,23.0,10.2,10.0,Bad,3598.39,5.3,Yes,Low_spent_Small_value_payments,208.32,0
28,Lawyer,17759.1,6,8.0,19,5.0,26,20.0,5.2,10.0,Bad,3598.39,5.4,Yes,Low_spent_Medium_value_payments,245.76,0
26,Writer,134321.44,3,5.0,12,4.0,26,19.0,11.09,3.0,Standard,1428.68,32.8,Yes,Low_spent_Medium_value_payments,417.05,1
27,Writer,134321.44,3,5.0,12,4.0,26,19.0,11.09,3.0,Standard,1428.68,33.1,Yes,High_spent_Small_value_payments,513.89,2
24,Lawyer,61008.0,10,5.0,32,4.0,16,19.0,19.44,12.0,Standard,1755.81,8.11,Yes,Low_spent_Large_value_payments,438.86,0
18,Lawyer,56803.71,7,5.0,25,6.0,51,26.0,16.23,11.0,Bad,2593.44,5.9,Yes,Low_spent_Small_value_payments,243.09,1
18,Lawyer,56803.71,7,5.0,25,6.0,46,20.0,16.23,11.0,Bad,2593.44,5.11,Yes,High_spent_Medium_value_payments,370.5,1
31,Architect,38364.82,9,6.0,32,4.0,34,22.0,3.44,11.0,Bad,1973.63,19.4,Yes,Low_spent_Small_value_payments,225.17,0
32,Architect,38364.82,9,6.0,32,4.0,34,22.0,0.44,11.0,Bad,1973.63,19.5,Yes,Low_spent_Large_value_payments,361.65,0
32,Architect,38364.82,9,6.0,32,4.0,34,22.0,3.44,11.0,Bad,1973.63,19.6,Yes,Low_spent_Large_value_payments,374.52,0
32,Architect,38364.82,9,6.0,32,4.0,31,20.0,3.44,11.0,Bad,1973.63,19.7,Yes,High_spent_Large_value_payments,413.37,0
55,Doctor,19403.405,1,7.0,3,3.0,13,11.0,3.9,2.0,Good,339.11,16.5,No,Low_spent_Small_value_payments,315.33,1
55,Doctor,19403.405,1,7.0,3,3.0,11,9.0,3.9,2.0,Good,339.11,16.6,No,Low_spent_Small_value_payments,248.56,1
19,Architect,15015.4,5,5.0,9,1.0,25,11.0,5.04,1.0,Good,330.17,21.9,No,Low_spent_Small_value_payments,351.38,0
20,Architect,15015.4,5,5.0,9,1.0,27,8.0,5.04,1.0,Good,330.17,22.2,No,Low_spent_Small_value_payments,237.07,1
34,Engineer,19777.05,5,3.0,3,3.0,19,3.0,5.95,1.0,Good,186.16,22.2,No,Low_spent_Medium_value_payments,358.39,0
32,Engineer,55151.04,10,6.0,23,6.0,36,17.0,10.64,9.0,Bad,1743.83,12.6,Yes,High_spent_Medium_value_payments,373.75,0
32,Engineer,55151.04,10,6.0,23,6.0,31,17.0,10.64,9.0,Bad,1743.83,12.7,Yes,High_spent_Medium_value_payments,443.79,0
32,Engineer,55151.04,10,6.0,23,6.0,29,19.0,10.64,9.0,Bad,1743.83,12.8,Yes,High_spent_Medium_value_payments,436.12,0
39,Manager,30536.62,6,6.0,7,2.0,19,7.0,9.33,4.0,Standard,687.87,15.4,Yes,High_spent_Medium_value_payments,353.37,1
42,Architect,20005.22,8,3.0,6,4.0,22,22.0,21.33,8.0,Standard,1859.45,12.6,Yes,Low_spent_Medium_value_payments,222.46,1
42,Architect,20005.22,8,3.0,6,4.0,17,20.0,18.33,13.0,Standard,1859.45,12.9,Yes,High_spent_Small_value_payments,333.97,1
43,Architect,20005.22,8,3.0,6,4.0,22,20.0,18.33,13.0,Standard,1859.45,12.1,Yes,High_spent_Medium_value_payments,325.06,1
43,Architect,20005.22,8,3.0,6,4.0,22,20.0,18.33,13.0,Standard,1859.45,13.0,Yes,Low_spent_Small_value_payments,222.35,0
32,Scientist,19795.52,7,10.0,34,8.0,15,22.0,22.79,15.0,Bad,3135.02,2.4,Yes,Low_spent_Small_value_payments,151.08,0
32,Scientist,19795.52,7,10.0,34,8.0,15,21.0,22.79,15.0,Bad,3135.02,2.5,Yes,High_spent_Medium_value_payments,224.51,0
